Country,District,Case_Type,Week,DistrictID,WeekID,Probable,Confirmed,inf0.01sprob0.1nd0nc0confirmed,inf0.06sprob0.1nd0nc0confirmed,inf0.01sprob0.6nd0nc0confirmed,inf0.06sprob0.6nd0nc0confirmed,inf0.01sprob0.1nd0.1nc0confirmed,inf0.06sprob0.1nd0.1nc0confirmed,inf0.01sprob0.6nd0.1nc0confirmed,inf0.06sprob0.6nd0.1nc0confirmed,inf0.01sprob0.1nd0.2nc0confirmed,inf0.06sprob0.1nd0.2nc0confirmed,inf0.01sprob0.6nd0.2nc0confirmed,inf0.06sprob0.6nd0.2nc0confirmed,inf0.01sprob0.1nd0nc0.025confirmed,inf0.06sprob0.1nd0nc0.025confirmed,inf0.01sprob0.6nd0nc0.025confirmed,inf0.06sprob0.6nd0nc0.025confirmed,inf0.01sprob0.1nd0.1nc0.025confirmed,inf0.06sprob0.1nd0.1nc0.025confirmed,inf0.01sprob0.6nd0.1nc0.025confirmed,inf0.06sprob0.6nd0.1nc0.025confirmed,inf0.01sprob0.1nd0.2nc0.025confirmed,inf0.06sprob0.1nd0.2nc0.025confirmed,inf0.01sprob0.6nd0.2nc0.025confirmed,inf0.06sprob0.6nd0.2nc0.025confirmed,inf0.01sprob0.1nd0nc0.05confirmed,inf0.06sprob0.1nd0nc0.05confirmed,inf0.01sprob0.6nd0nc0.05confirmed,inf0.06sprob0.6nd0nc0.05confirmed,inf0.01sprob0.1nd0.1nc0.05confirmed,inf0.06sprob0.1nd0.1nc0.05confirmed,inf0.01sprob0.6nd0.1nc0.05confirmed,inf0.06sprob0.6nd0.1nc0.05confirmed,inf0.01sprob0.1nd0.2nc0.05confirmed,inf0.06sprob0.1nd0.2nc0.05confirmed,inf0.01sprob0.6nd0.2nc0.05confirmed,inf0.06sprob0.6nd0.2nc0.05confirmed,inf0.01sprob0.1nd0nc0probable,inf0.06sprob0.1nd0nc0probable,inf0.01sprob0.6nd0nc0probable,inf0.06sprob0.6nd0nc0probable,inf0.01sprob0.1nd0.1nc0probable,inf0.06sprob0.1nd0.1nc0probable,inf0.01sprob0.6nd0.1nc0probable,inf0.06sprob0.6nd0.1nc0probable,inf0.01sprob0.1nd0.2nc0probable,inf0.06sprob0.1nd0.2nc0probable,inf0.01sprob0.6nd0.2nc0probable,inf0.06sprob0.6nd0.2nc0probable,inf0.01sprob0.1nd0nc0.025probable,inf0.06sprob0.1nd0nc0.025probable,inf0.01sprob0.6nd0nc0.025probable,inf0.06sprob0.6nd0nc0.025probable,inf0.01sprob0.1nd0.1nc0.025probable,inf0.06sprob0.1nd0.1nc0.025probable,inf0.01sprob0.6nd0.1nc0.025probable,inf0.06sprob0.6nd0.1nc0.025probable,inf0.01sprob0.1nd0.2nc0.025probable,inf0.06sprob0.1nd0.2nc0.025probable,inf0.01sprob0.6nd0.2nc0.025probable,inf0.06sprob0.6nd0.2nc0.025probable,inf0.01sprob0.1nd0nc0.05probable,inf0.06sprob0.1nd0nc0.05probable,inf0.01sprob0.6nd0nc0.05probable,inf0.06sprob0.6nd0nc0.05probable,inf0.01sprob0.1nd0.1nc0.05probable,inf0.06sprob0.1nd0.1nc0.05probable,inf0.01sprob0.6nd0.1nc0.05probable,inf0.06sprob0.6nd0.1nc0.05probable,inf0.01sprob0.1nd0.2nc0.05probable,inf0.06sprob0.1nd0.2nc0.05probable,inf0.01sprob0.6nd0.2nc0.05probable,inf0.06sprob0.6nd0.2nc0.05probable
Guinea,FORECARIAH, Probable,12/30/14,FORECARIAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,FRIA, Probable,12/30/14,FRIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,GAOUAL, Probable,12/30/14,GAOUAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,GUECKEDOU, Probable,12/30/14,GUECKEDOU,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,KANKAN, Probable,12/30/14,KANKAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,KEROUANE, Probable,12/30/14,KEROUANE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,KINDIA, Probable,12/30/14,KINDIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,KISSIDOUGOU, Probable,12/30/14,KISSIDOUGOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,KOUBIA, Probable,12/30/14,KOUBIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,KOUNDARA, Probable,12/30/14,KOUNDARA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
