"","Country","District_Name","Week","Probable","Confirmed","ConfirmedFOI","ProbableFOI","DistrictID","WeekID","probable_cumulative","confirmed_cumulative"
"144","Guinea","FARANAH","1/6/14",0,0,0,0,"FARANAH",2,0,0
"146","Guinea","FORECARIAH","1/6/14",0,0,0,0,"FORECARIAH",2,0,0
"148","Guinea","FRIA","1/6/14",0,0,0,0.0392207131532813,"FRIA",2,0,0
"150","Guinea","GAOUAL","1/6/14",0,0,0,0,"GAOUAL",2,0,0
"152","Guinea","GUECKEDOU","1/6/14",0,0,0,0,"GUECKEDOU",2,0,0
"154","Guinea","KANKAN","1/6/14",0,0,0,0,"KANKAN",2,0,0
"156","Guinea","KEROUANE","1/6/14",0,0,0,0,"KEROUANE",2,0,0
"158","Guinea","KINDIA","1/6/14",0,0,0,0.0392207131532813,"KINDIA",2,0,0
"160","Guinea","KISSIDOUGOU","1/6/14",0,0,0,0,"KISSIDOUGOU",2,0,0
"162","Guinea","KOUBIA","1/6/14",0,0,0,0,"KOUBIA",2,0,0
"164","Guinea","KOUNDARA","1/6/14",0,0,0,0,"KOUNDARA",2,0,0
"166","Guinea","KOUROUSSA","1/6/14",0,0,0,0,"KOUROUSSA",2,0,0
"168","Guinea","LABE","1/6/14",0,0,0,0,"LABE",2,0,0
"170","Guinea","LELOUMA","1/6/14",0,0,0,0,"LELOUMA",2,0,0
"172","Guinea","LOLA","1/6/14",0,0,0,0,"LOLA",2,0,0
"174","Guinea","MACENTA","1/6/14",0,0,0,0,"MACENTA",2,0,0
"176","Guinea","MALI","1/6/14",0,0,0,0,"MALI",2,0,0
"178","Guinea","MAMOU","1/6/14",0,0,0,0,"MAMOU",2,0,0
"180","Guinea","N'ZEREKORE","1/6/14",0,0,0,0,"NZEREKORE",2,0,0
"182","Guinea","PITA","1/6/14",0,0,0,0,"PITA",2,0,0
"184","Guinea","SIGUIRI","1/6/14",0,0,0,0,"SIGUIRI",2,0,0
"186","Guinea","TELIMELE","1/6/14",0,0,0,0.0392207131532813,"TELIMELE",2,0,0
"188","Guinea","TOUGUE","1/6/14",0,0,0,0,"TOUGUE",2,0,0
"190","Guinea","YOMOU","1/6/14",0,0,0,0,"YOMOU",2,0,0
"192","Liberia","BOMI","1/6/14",0,0,0,0,"BOMI",2,0,0
"194","Liberia","BONG","1/6/14",0,0,0,0,"BONG",2,0,0
"196","Liberia","GBARPOLU","1/6/14",0,0,0,0,"GBARPOLU",2,0,0
"198","Liberia","GRAND BASSA","1/6/14",0,0,0,0,"GRAND BASSA",2,0,0
"200","Liberia","GRAND CAPE MOUNT","1/6/14",0,0,0,0,"GRAND CAPE MOUNT",2,0,0
"202","Liberia","GRAND GEDEH","1/6/14",0,0,0,0,"GRAND GEDEH",2,0,0
"204","Liberia","GRAND KRU","1/6/14",0,0,0,0,"GRAND KRU",2,0,0
"206","Liberia","LOFA","1/6/14",0,0,0,0,"LOFA",2,0,0
"208","Liberia","MARGIBI","1/6/14",0,0,0,0,"MARGIBI",2,0,0
"210","Liberia","MARYLAND","1/6/14",0,0,0,0,"MARYLAND",2,0,0
"212","Liberia","MONTSERRADO","1/6/14",0,0,0,0,"MONTSERRADO",2,0,0
"214","Liberia","NIMBA","1/6/14",0,0,0,0,"NIMBA",2,0,0
"216","Liberia","RIVER GEE","1/6/14",0,0,0,0,"RIVER GEE",2,0,0
"218","Liberia","RIVERCESS","1/6/14",0,0,0,0,"RIVERCESS",2,0,0
"220","Liberia","SINOE","1/6/14",0,0,0,0,"SINOE",2,0,0
"222","Sierra Leone","BO","1/6/14",0,0,0,0,"BO",2,0,0
"224","Sierra Leone","BOMBALI","1/6/14",0,0,0,0,"BOMBALI",2,0,0
"226","Sierra Leone","BONTHE","1/6/14",0,0,0,0,"BONTHE",2,0,0
"228","Sierra Leone","KAILAHUN","1/6/14",0,0,0,0,"KAILAHUN",2,0,0
"230","Sierra Leone","KAMBIA","1/6/14",0,0,0,0,"KAMBIA",2,0,0
