district,BEYLA,BO,BOFFA,BOKE,BOMBALI,BOMI,BONG,BONTHE,CONAKRY,COYAH,DABOLA,DALABA,DINGUIRAYE,DUBREKA,FARANAH,FORECARIAH,FRIA,GAOUAL,GBARPOLU,GRAND BASSA,GRAND CAPE MOUNT,GRAND GEDEH,GRAND KRU,GUECKEDOU,KAILAHUN,KAMBIA,KANKAN,KENEMA,KEROUANE,KINDIA,KISSIDOUGOU,KOINADUGU,KONO,KOUBIA,KOUNDARA,KOUROUSSA,LABE,LELOUMA,LOFA,LOLA,MACENTA,MALI,MAMOU,MARGIBI,MARYLAND,MONTSERRADO,MOYAMBA,N'ZEREKORE,NIMBA,PITA,PORT LOKO,PUJEHUN,RIVER GEE,RIVERCESS,SIGUIRI,SINOE,TELIMELE,TONKOLILI,TOUGUE,WESTERN AREA RURAL,WESTERN AREA URBAN,YOMOU
LOFA,,,,,,,1,,,,,,,,,,,,1,,1,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
LOLA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
MACENTA,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,
MALI,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,
MAMOU,,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
MARGIBI,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
MARYLAND,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
MONTSERRADO,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,
MOYAMBA,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
N'ZEREKORE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,
NIMBA,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,
PITA,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,
PORT LOKO,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,
PUJEHUN,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
RIVER GEE,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,
RIVERCESS,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,
SIGUIRI,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
SINOE,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,1,,,,,,
TELIMELE,,,1,1,,,,,,,,,,1,,,1,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,
TONKOLILI,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,1,,,,1,,,,,,,1,,,,
TOUGUE,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,
WESTERN AREA RURAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,
WESTERN AREA URBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
YOMOU,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,1,,,,,,,,,,,,,1
