"","Country","DistrictName","Week","Probable","Confirmed","ConfirmedFOI","ProbableFOI","DistrictID","WeekID","ProbableCumulative","ConfirmedCumulative","PopulationSize"
"1852","Sierra Leone","PORT LOKO","4/7/14",0,0,0,0,"PORTLOKO",14,0,0,574781
"1854","Sierra Leone","PUJEHUN","4/7/14",0,0,0,0.048790164169432,"PUJEHUN",14,0,0,289315
"1856","Sierra Leone","TONKOLILI","4/7/14",0,0,0,0,"TONKOLILI",14,0,0,439810
"1858","Sierra Leone","WESTERN AREA RURAL","4/7/14",0,0,0,0,"WESTERNAREARURAL",14,0,0,1199763
"1860","Sierra Leone","WESTERN AREA URBAN","4/7/14",0,0,0,0,"WESTERNAREAURBAN",14,0,0,979034
"1862","Guinea","BEYLA","4/14/14",0,0,0.0953101798043249,0.182321556793955,"BEYLA",15,0,0,325482
"1864","Guinea","BOFFA","4/14/14",0,0,1.39871688111845,1.44691898293633,"BOFFA",15,0,0,211063
"1866","Guinea","BOKE","4/14/14",0,0,3.25809653802148,3.3322045101752,"BOKE",15,0,0,449405
"1868","Guinea","CONAKRY","4/14/14",9,9,1.02960515589613,1.06469502401916,"CONAKRY",15,0,0,1667864
"1870","Guinea","COYAH","4/14/14",0,0,1.04731899428056,1.08180517035173,"COYAH",15,0,0,264164
"1872","Guinea","DABOLA","4/14/14",0,0,0,0,"DABOLA",15,0,0,182951
"1874","Guinea","DALABA","4/14/14",0,0,0.048790164169432,0.048790164169432,"DALABA",15,0,0,136320
"1876","Guinea","DINGUIRAYE","4/14/14",0,0,0,0,"DINGUIRAYE",15,0,0,195662
"1878","Guinea","DUBREKA","4/14/14",0,0,3.6122683517421,3.6648428762857,"DUBREKA",15,0,0,328418
"1880","Guinea","FARANAH","4/14/14",0,0,0,0,"FARANAH",15,0,0,280511
"1882","Guinea","FORECARIAH","4/14/14",0,0,0.048790164169432,0.048790164169432,"FORECARIAH",15,0,0,244649
"1884","Guinea","FRIA","4/14/14",0,0,1.02961941718116,1.06471073699243,"FRIA",15,0,0,96527
"1886","Guinea","GAOUAL","4/14/14",0,0,0,0.048790164169432,"GAOUAL",15,0,0,194245
"1888","Guinea","GUECKEDOU","4/14/14",7,7,0.0998257977394066,0.186415438025443,"GUECKEDOU",15,0,0,291823
"1890","Guinea","KANKAN","4/14/14",0,0,0,0,"KANKAN",15,0,0,472112
"1892","Guinea","KEROUANE","4/14/14",0,0,0.0953101798043249,0.182321556793955,"KEROUANE",15,0,0,211017
"1894","Guinea","KINDIA","4/14/14",0,0,1.33500106673234,1.3609765531356,"KINDIA",15,0,0,438315
"1896","Guinea","KISSIDOUGOU","4/14/14",0,0,0.0953101798043249,0.182321556793955,"KISSIDOUGOU",15,0,0,283609
"1898","Guinea","KOUBIA","4/14/14",0,0,0,0.048790164169432,"KOUBIA",15,0,0,101171
"1900","Guinea","KOUNDARA","4/14/14",0,0,0,0.048790164169432,"KOUNDARA",15,0,0,130205
"1902","Guinea","KOUROUSSA","4/14/14",0,0,0,0,"KOUROUSSA",15,0,0,268224
"1904","Guinea","LABE","4/14/14",0,0,0,0.048790164169432,"LABE",15,0,0,318663
"1906","Guinea","LELOUMA","4/14/14",0,0,0,0.048790164169432,"LELOUMA",15,0,0,162634
"1908","Guinea","LOLA","4/14/14",0,0,0,0,"LOLA",15,0,0,175213
"1910","Guinea","MACENTA","4/14/14",0,0,1.09858770312999,1.60938963480554,"MACENTA",15,0,0,298282
"1912","Guinea","MALI","4/14/14",0,0,0,0.693147180559945,"MALI",15,0,0,290320
"1914","Guinea","MAMOU","4/14/14",0,0,0.048790164169432,0.048790164169432,"MAMOU",15,0,0,318738
"1916","Guinea","N'ZEREKORE","4/14/14",0,0,0.0953101798043249,0.182321556793955,"NZEREKORE",15,0,0,396118
"1918","Guinea","PITA","4/14/14",0,0,0.048790164169432,0.048790164169432,"PITA",15,0,0,277059
"1920","Guinea","SIGUIRI","4/14/14",0,0,0,0,"SIGUIRI",15,0,0,695449
"1922","Guinea","TELIMELE","4/14/14",0,0,1.41098697371026,1.45861502269952,"TELIMELE",15,0,0,283639
"1924","Guinea","TOUGUE","4/14/14",0,0,0,0,"TOUGUE",15,0,0,122959
"1926","Guinea","YOMOU","4/14/14",0,0,0.0953101798043249,0.182321556793955,"YOMOU",15,0,0,176664
"1928","Liberia","BOMI","4/14/14",0,0,0,0.693147180559945,"BOMI",15,0,0,103887
"1930","Liberia","BONG","4/14/14",0,0,0,0.048790164169432,"BONG",15,0,0,411847
"1932","Liberia","GBARPOLU","4/14/14",0,0,0.00498754151103897,0.0535407669280298,"GBARPOLU",15,0,0,102984
"1934","Liberia","GRAND BASSA","4/14/14",0,0,0,0,"GRANDBASSA",15,0,0,273790
"1936","Liberia","GRAND CAPE MOUNT","4/14/14",0,0,0,0.048790164169432,"GRANDCAPEMOUNT",15,0,0,156938
"1938","Liberia","GRAND GEDEH","4/14/14",0,0,0,0,"GRANDGEDEH",15,0,0,154693
"1940","Liberia","GRAND KRU","4/14/14",0,0,0,0,"GRANDKRU",15,0,0,71522
"1942","Liberia","LOFA","4/14/14",0,0,0.00995024398306948,0.0148883963883191,"LOFA",15,0,0,341924
"1944","Liberia","MARGIBI","4/14/14",1,0,0,0,"MARGIBI",15,0,0,259254
"1946","Liberia","MARYLAND","4/14/14",0,0,0,0,"MARYLAND",15,0,0,167883
"1948","Liberia","MONTSERRADO","4/14/14",0,0,0,0.048790164169432,"MONTSERRADO",15,0,0,1381022
"1950","Liberia","NIMBA","4/14/14",0,0,0,0,"NIMBA",15,0,0,570600
"1952","Liberia","RIVER GEE","4/14/14",0,0,0,0,"RIVERGEE",15,0,0,82484
"1954","Liberia","RIVERCESS","4/14/14",0,0,0,0,"RIVERCESS",15,0,0,88313
"1956","Liberia","SINOE","4/14/14",0,0,0,0,"SINOE",15,0,0,126452
"1958","Sierra Leone","BO","4/14/14",0,0,0,0,"BO",15,0,0,587350
"1960","Sierra Leone","BOMBALI","4/14/14",0,0,0.00249688019858715,0.00249688019858715,"BOMBALI",15,0,0,517326
"1962","Sierra Leone","BONTHE","4/14/14",0,0,0,0,"BONTHE",15,0,0,176948
"1964","Sierra Leone","KAILAHUN","4/14/14",0,0,1.09861228866811,1.09861228866811,"KAILAHUN",15,0,0,453736
"1966","Sierra Leone","KAMBIA","4/14/14",0,0,0,0,"KAMBIA",15,0,0,342607
"1968","Sierra Leone","KENEMA","4/14/14",0,0,0.0953101798043249,0.0953101798043249,"KENEMA",15,0,0,630774
"1970","Sierra Leone","KOINADUGU","4/14/14",0,0,0,0,"KOINADUGU",15,0,0,336648
"1972","Sierra Leone","KONO","4/14/14",0,0,0.0953101798043249,0.0953101798043249,"KONO",15,0,0,424868
"1974","Sierra Leone","MOYAMBA","4/14/14",0,0,0,0,"MOYAMBA",15,0,0,330507
"1976","Sierra Leone","PORT LOKO","4/14/14",0,0,0,0,"PORTLOKO",15,0,0,574781
"1978","Sierra Leone","PUJEHUN","4/14/14",0,0,0,0,"PUJEHUN",15,0,0,289315
"1980","Sierra Leone","TONKOLILI","4/14/14",0,0,0,0,"TONKOLILI",15,0,0,439810
"1982","Sierra Leone","WESTERN AREA RURAL","4/14/14",0,0,0,0,"WESTERNAREARURAL",15,0,0,1199763
"1984","Sierra Leone","WESTERN AREA URBAN","4/14/14",0,0,0,0,"WESTERNAREAURBAN",15,0,0,979034
"1986","Guinea","BEYLA","4/21/14",0,0,0,0.048790164169432,"BEYLA",16,0,0,325482
"1988","Guinea","BOFFA","4/21/14",0,0,1.2947271675944,1.2947271675944,"BOFFA",16,0,0,211063
"1990","Guinea","BOKE","4/21/14",0,0,2.99573227355399,2.99573227355399,"BOKE",16,0,0,449405
"1992","Guinea","CONAKRY","4/21/14",2,2,0.993237050145398,0.993235917608351,"CONAKRY",16,0,0,1667864
"1994","Guinea","COYAH","4/21/14",0,0,0.993251773010283,0.993251773010283,"COYAH",16,0,0,264164
"1996","Guinea","DABOLA","4/21/14",0,0,0,0,"DABOLA",16,0,0,182951
"1998","Guinea","DALABA","4/21/14",0,0,0,0,"DALABA",16,0,0,136320
"2000","Guinea","DINGUIRAYE","4/21/14",0,0,0,0,"DINGUIRAYE",16,0,0,195662
"2002","Guinea","DUBREKA","4/21/14",0,0,3.55534806148941,3.55534806148941,"DUBREKA",16,0,0,328418
"2004","Guinea","FARANAH","4/21/14",0,0,0,0,"FARANAH",16,0,0,280511
"2006","Guinea","FORECARIAH","4/21/14",0,0,0,0,"FORECARIAH",16,0,0,244649
"2008","Guinea","FRIA","4/21/14",0,0,0.993251773010283,0.993251773010283,"FRIA",16,0,0,96527
"2010","Guinea","GAOUAL","4/21/14",0,0,0,0.048790164169432,"GAOUAL",16,0,0,194245
"2012","Guinea","GUECKEDOU","4/21/14",8,8,0,0.0487709089986021,"GUECKEDOU",16,0,0,291823
"2014","Guinea","KANKAN","4/21/14",0,0,0,0,"KANKAN",16,0,0,472112
"2016","Guinea","KEROUANE","4/21/14",0,0,0,0.048790164169432,"KEROUANE",16,0,0,211017
"2018","Guinea","KINDIA","4/21/14",0,0,0.993251773010283,0.993251773010283,"KINDIA",16,0,0,438315
"2020","Guinea","KISSIDOUGOU","4/21/14",0,0,0,0.048790164169432,"KISSIDOUGOU",16,0,0,283609
"2022","Guinea","KOUBIA","4/21/14",0,0,0,0.048790164169432,"KOUBIA",16,0,0,101171
"2024","Guinea","KOUNDARA","4/21/14",0,0,0,0.048790164169432,"KOUNDARA",16,0,0,130205
"2026","Guinea","KOUROUSSA","4/21/14",0,0,0,0,"KOUROUSSA",16,0,0,268224
"2028","Guinea","LABE","4/21/14",0,0,0,0.048790164169432,"LABE",16,0,0,318663
"2030","Guinea","LELOUMA","4/21/14",0,0,0,0.048790164169432,"LELOUMA",16,0,0,162634
"2032","Guinea","LOLA","4/21/14",0,0,0,0,"LOLA",16,0,0,175213
"2034","Guinea","MACENTA","4/21/14",0,0,0,0.69311700731523,"MACENTA",16,0,0,298282
"2036","Guinea","MALI","4/21/14",0,0,0,0.693147180559945,"MALI",16,0,0,290320
"2038","Guinea","MAMOU","4/21/14",0,0,0,0,"MAMOU",16,0,0,318738
"2040","Guinea","N'ZEREKORE","4/21/14",0,0,0,0.048790164169432,"NZEREKORE",16,0,0,396118
"2042","Guinea","PITA","4/21/14",0,0,0,0,"PITA",16,0,0,277059
"2044","Guinea","SIGUIRI","4/21/14",0,0,0,0,"SIGUIRI",16,0,0,695449
"2046","Guinea","TELIMELE","4/21/14",0,0,1.2947271675944,1.2947271675944,"TELIMELE",16,0,0,283639
"2048","Guinea","TOUGUE","4/21/14",0,0,0,0,"TOUGUE",16,0,0,122959
"2050","Guinea","YOMOU","4/21/14",0,0,0,0.048790164169432,"YOMOU",16,0,0,176664
"2052","Liberia","BOMI","4/21/14",0,0,0,0,"BOMI",16,0,0,103887
"2054","Liberia","BONG","4/21/14",0,0,0,0,"BONG",16,0,0,411847
"2056","Liberia","GBARPOLU","4/21/14",0,0,0,0,"GBARPOLU",16,0,0,102984
"2058","Liberia","GRAND BASSA","4/21/14",0,0,0,0,"GRANDBASSA",16,0,0,273790
"2060","Liberia","GRAND CAPE MOUNT","4/21/14",0,0,0,0,"GRANDCAPEMOUNT",16,0,0,156938
"2062","Liberia","GRAND GEDEH","4/21/14",0,0,0,0,"GRANDGEDEH",16,0,0,154693
"2064","Liberia","GRAND KRU","4/21/14",0,0,0,0,"GRANDKRU",16,0,0,71522
"2066","Liberia","LOFA","4/21/14",0,0,0,0.00249684373192171,"LOFA",16,0,0,341924
"2068","Liberia","MARGIBI","4/21/14",0,0,0,0,"MARGIBI",16,0,0,259254
"2070","Liberia","MARYLAND","4/21/14",0,0,0,0,"MARYLAND",16,0,0,167883
"2072","Liberia","MONTSERRADO","4/21/14",0,0,0,0,"MONTSERRADO",16,0,0,1381022
"2074","Liberia","NIMBA","4/21/14",0,0,0,0,"NIMBA",16,0,0,570600
"2076","Liberia","RIVER GEE","4/21/14",0,0,0,0,"RIVERGEE",16,0,0,82484
"2078","Liberia","RIVERCESS","4/21/14",0,0,0,0,"RIVERCESS",16,0,0,88313
"2080","Liberia","SINOE","4/21/14",0,0,0,0,"SINOE",16,0,0,126452
"2082","Sierra Leone","BO","4/21/14",0,0,0,0,"BO",16,0,0,587350
"2084","Sierra Leone","BOMBALI","4/21/14",0,0,0,0,"BOMBALI",16,0,0,517326
"2086","Sierra Leone","BONTHE","4/21/14",0,0,0,0,"BONTHE",16,0,0,176948
"2088","Sierra Leone","KAILAHUN","4/21/14",0,0,0,0,"KAILAHUN",16,0,0,453736
"2090","Sierra Leone","KAMBIA","4/21/14",0,0,0,0,"KAMBIA",16,0,0,342607
"2092","Sierra Leone","KENEMA","4/21/14",0,0,0,0,"KENEMA",16,0,0,630774
"2094","Sierra Leone","KOINADUGU","4/21/14",0,0,0,0,"KOINADUGU",16,0,0,336648
"2096","Sierra Leone","KONO","4/21/14",0,0,0,0,"KONO",16,0,0,424868
"2098","Sierra Leone","MOYAMBA","4/21/14",0,0,0,0,"MOYAMBA",16,0,0,330507
"2100","Sierra Leone","PORT LOKO","4/21/14",0,0,0,0,"PORTLOKO",16,0,0,574781
"2102","Sierra Leone","PUJEHUN","4/21/14",0,0,0,0,"PUJEHUN",16,0,0,289315
"2104","Sierra Leone","TONKOLILI","4/21/14",0,0,0,0,"TONKOLILI",16,0,0,439810
"2106","Sierra Leone","WESTERN AREA RURAL","4/21/14",0,0,0,0,"WESTERNAREARURAL",16,0,0,1199763
"2108","Sierra Leone","WESTERN AREA URBAN","4/21/14",0,0,0,0,"WESTERNAREAURBAN",16,0,0,979034
"2110","Guinea","BEYLA","4/28/14",0,0,0.048790164169432,0.048790164169432,"BEYLA",17,0,0,325482
"2112","Guinea","BOFFA","4/28/14",0,0,0.896088024556636,1.04731899428056,"BOFFA",17,0,0,211063
"2114","Guinea","BOKE","4/28/14",0,0,2.484906649788,2.56494935746154,"BOKE",17,0,0,449405
"2116","Guinea","CONAKRY","4/28/14",1,0,0.641842809857707,0.810915893070094,"CONAKRY",17,0,0,1667864
"2118","Guinea","COYAH","4/28/14",0,0,0.641853886172395,0.810930216216329,"COYAH",17,0,0,264164
"2120","Guinea","DABOLA","4/28/14",0,0,0,0,"DABOLA",17,0,0,182951
"2122","Guinea","DALABA","4/28/14",0,0,0,0,"DALABA",17,0,0,136320
"2124","Guinea","DINGUIRAYE","4/28/14",0,0,0,0,"DINGUIRAYE",17,0,0,195662
"2126","Guinea","DUBREKA","4/28/14",0,0,2.94443897916644,3.25809653802148,"DUBREKA",17,0,0,328418
"2128","Guinea","FARANAH","4/28/14",0,0,0,0.048790164169432,"FARANAH",17,0,0,280511
"2130","Guinea","FORECARIAH","4/28/14",0,0,0,0,"FORECARIAH",17,0,0,244649
"2132","Guinea","FRIA","4/28/14",0,0,0.641853886172395,0.810930216216329,"FRIA",17,0,0,96527
"2134","Guinea","GAOUAL","4/28/14",0,0,0,0.048790164169432,"GAOUAL",17,0,0,194245
"2136","Guinea","GUECKEDOU","4/28/14",10,3,0.0487785784754793,0.0952703042782664,"GUECKEDOU",17,0,0,291823
"2138","Guinea","KANKAN","4/28/14",0,0,0,0.048790164169432,"KANKAN",17,0,0,472112
"2140","Guinea","KEROUANE","4/28/14",0,0,0.048790164169432,0.0953101798043249,"KEROUANE",17,0,0,211017
"2142","Guinea","KINDIA","4/28/14",0,0,0.641853886172395,0.810930216216329,"KINDIA",17,0,0,438315
"2144","Guinea","KISSIDOUGOU","4/28/14",0,0,0.048790164169432,0.717839793150317,"KISSIDOUGOU",17,0,0,283609
"2146","Guinea","KOUBIA","4/28/14",0,0,0,0.048790164169432,"KOUBIA",17,0,0,101171
"2148","Guinea","KOUNDARA","4/28/14",0,0,0,0.048790164169432,"KOUNDARA",17,0,0,130205
"2150","Guinea","KOUROUSSA","4/28/14",0,0,0,0.0487899866347899,"KOUROUSSA",17,0,0,268224
"2152","Guinea","LABE","4/28/14",0,0,0,0.048790164169432,"LABE",17,0,0,318663
"2154","Guinea","LELOUMA","4/28/14",0,0,0,0.048790164169432,"LELOUMA",17,0,0,162634
"2156","Guinea","LOLA","4/28/14",0,0,0,0,"LOLA",17,0,0,175213
"2158","Guinea","MACENTA","4/28/14",0,0,0.693128741463025,0.71780888396143,"MACENTA",17,0,0,298282
"2160","Guinea","MALI","4/28/14",0,0,0,0.693147180559945,"MALI",17,0,0,290320
"2162","Guinea","MAMOU","4/28/14",0,0,0,0,"MAMOU",17,0,0,318738
"2164","Guinea","N'ZEREKORE","4/28/14",0,0,0.048790164169432,0.048790164169432,"NZEREKORE",17,0,0,396118
"2166","Guinea","PITA","4/28/14",0,0,0,0,"PITA",17,0,0,277059
"2168","Guinea","SIGUIRI","4/28/14",0,0,0,0,"SIGUIRI",17,0,0,695449
"2170","Guinea","TELIMELE","4/28/14",1,0,0.896088024556636,1.04731670572521,"TELIMELE",17,0,0,283639
"2172","Guinea","TOUGUE","4/28/14",0,0,0,0,"TOUGUE",17,0,0,122959
"2174","Guinea","YOMOU","4/28/14",0,0,0.048790164169432,0.048790164169432,"YOMOU",17,0,0,176664
"2176","Liberia","BOMI","4/28/14",0,0,0,0,"BOMI",17,0,0,103887
"2178","Liberia","BONG","4/28/14",0,0,0,0,"BONG",17,0,0,411847
"2180","Liberia","GBARPOLU","4/28/14",0,0,0,0,"GBARPOLU",17,0,0,102984
"2182","Liberia","GRAND BASSA","4/28/14",0,0,0,0,"GRANDBASSA",17,0,0,273790
"2184","Liberia","GRAND CAPE MOUNT","4/28/14",0,0,0,0,"GRANDCAPEMOUNT",17,0,0,156938
"2186","Liberia","GRAND GEDEH","4/28/14",0,0,0,0,"GRANDGEDEH",17,0,0,154693
"2188","Liberia","GRAND KRU","4/28/14",0,0,0,0,"GRANDKRU",17,0,0,71522
"2190","Liberia","LOFA","4/28/14",1,1,0.00249685102525486,0.00249683643858829,"LOFA",17,0,0,341924
"2192","Liberia","MARGIBI","4/28/14",0,0,0,0,"MARGIBI",17,0,0,259254
"2194","Liberia","MARYLAND","4/28/14",0,0,0,0,"MARYLAND",17,0,0,167883
"2196","Liberia","MONTSERRADO","4/28/14",0,0,0,0,"MONTSERRADO",17,0,0,1381022
"2198","Liberia","NIMBA","4/28/14",0,0,0,0,"NIMBA",17,0,0,570600
"2200","Liberia","RIVER GEE","4/28/14",0,0,0,0,"RIVERGEE",17,0,0,82484
"2202","Liberia","RIVERCESS","4/28/14",0,0,0,0,"RIVERCESS",17,0,0,88313
"2204","Liberia","SINOE","4/28/14",0,0,0,0,"SINOE",17,0,0,126452
"2206","Sierra Leone","BO","4/28/14",0,0,0,0,"BO",17,0,0,587350
"2208","Sierra Leone","BOMBALI","4/28/14",0,0,0,0,"BOMBALI",17,0,0,517326
"2210","Sierra Leone","BONTHE","4/28/14",0,0,0,0,"BONTHE",17,0,0,176948
"2212","Sierra Leone","KAILAHUN","4/28/14",0,0,0,0,"KAILAHUN",17,0,0,453736
"2214","Sierra Leone","KAMBIA","4/28/14",0,0,0,0,"KAMBIA",17,0,0,342607
"2216","Sierra Leone","KENEMA","4/28/14",0,0,0,0,"KENEMA",17,0,0,630774
"2218","Sierra Leone","KOINADUGU","4/28/14",0,0,0,0,"KOINADUGU",17,0,0,336648
"2220","Sierra Leone","KONO","4/28/14",0,0,0,0,"KONO",17,0,0,424868
"2222","Sierra Leone","MOYAMBA","4/28/14",0,0,0,0,"MOYAMBA",17,0,0,330507
"2224","Sierra Leone","PORT LOKO","4/28/14",0,0,0,0,"PORTLOKO",17,0,0,574781
"2226","Sierra Leone","PUJEHUN","4/28/14",0,0,0,0,"PUJEHUN",17,0,0,289315
"2228","Sierra Leone","TONKOLILI","4/28/14",0,0,0,0,"TONKOLILI",17,0,0,439810
"2230","Sierra Leone","WESTERN AREA RURAL","4/28/14",0,0,0,0,"WESTERNAREARURAL",17,0,0,1199763
"2232","Sierra Leone","WESTERN AREA URBAN","4/28/14",0,0,0,0,"WESTERNAREAURBAN",17,0,0,979034
"2234","Guinea","BEYLA","5/5/14",0,0,0.0953101798043249,0.0953101798043249,"BEYLA",18,0,0,325482
"2236","Guinea","BOFFA","5/5/14",0,0,0.717839793150317,0.955511445027436,"BOFFA",18,0,0,211063
"2238","Guinea","BOKE","5/5/14",0,0,1.09861228866811,1.38629436111989,"BOKE",18,0,0,449405
"2240","Guinea","CONAKRY","5/5/14",0,0,0.667817980694649,0.896072766014123,"CONAKRY",18,0,0,1667864
"2242","Guinea","COYAH","5/5/14",0,0,0.667829372575656,0.896088024556636,"COYAH",18,0,0,264164
"2244","Guinea","DABOLA","5/5/14",0,0,0,0,"DABOLA",18,0,0,182951
"2246","Guinea","DALABA","5/5/14",0,0,0,0,"DALABA",18,0,0,136320
"2248","Guinea","DINGUIRAYE","5/5/14",0,0,0,0,"DINGUIRAYE",18,0,0,195662
"2250","Guinea","DUBREKA","5/5/14",0,0,2.99573227355399,3.40119738166216,"DUBREKA",18,0,0,328418
"2252","Guinea","FARANAH","5/5/14",0,0,0,0.048790164169432,"FARANAH",18,0,0,280511
"2254","Guinea","FORECARIAH","5/5/14",0,0,0,0,"FORECARIAH",18,0,0,244649
"2256","Guinea","FRIA","5/5/14",0,0,0.667829372575656,0.896088024556636,"FRIA",18,0,0,96527
"2258","Guinea","GAOUAL","5/5/14",0,0,0,0,"GAOUAL",18,0,0,194245
"2260","Guinea","GUECKEDOU","5/5/14",11,8,0.0952855693159254,0.139699812255149,"GUECKEDOU",18,0,0,291823
"2262","Guinea","KANKAN","5/5/14",0,0,0,0.048790164169432,"KANKAN",18,0,0,472112
"2264","Guinea","KEROUANE","5/5/14",0,0,0.0953101798043249,0.139761942375159,"KEROUANE",18,0,0,211017
"2266","Guinea","KINDIA","5/5/14",0,0,0.667829372575655,0.896088024556636,"KINDIA",18,0,0,438315
"2268","Guinea","KISSIDOUGOU","5/5/14",0,0,0.0953101798043249,0.741937344729377,"KISSIDOUGOU",18,0,0,283609
"2270","Guinea","KOUBIA","5/5/14",0,0,0,0,"KOUBIA",18,0,0,101171
"2272","Guinea","KOUNDARA","5/5/14",0,0,0,0,"KOUNDARA",18,0,0,130205
"2274","Guinea","KOUROUSSA","5/5/14",0,0,0,0.0487899866347899,"KOUROUSSA",18,0,0,268224
"2276","Guinea","LABE","5/5/14",0,0,0,0,"LABE",18,0,0,318663
"2278","Guinea","LELOUMA","5/5/14",0,0,0,0,"LELOUMA",18,0,0,162634
"2280","Guinea","LOLA","5/5/14",0,0,0,0,"LOLA",18,0,0,175213
"2282","Guinea","MACENTA","5/5/14",0,0,1.09858770312999,1.11510102965346,"MACENTA",18,0,0,298282
"2284","Guinea","MALI","5/5/14",0,0,0,0,"MALI",18,0,0,290320
"2286","Guinea","MAMOU","5/5/14",0,0,0,0,"MAMOU",18,0,0,318738
"2288","Guinea","N'ZEREKORE","5/5/14",0,0,0.0953101798043249,0.0953101798043249,"NZEREKORE",18,0,0,396118
"2290","Guinea","PITA","5/5/14",0,0,0,0,"PITA",18,0,0,277059
"2292","Guinea","SIGUIRI","5/5/14",0,0,0,0,"SIGUIRI",18,0,0,695449
"2294","Guinea","TELIMELE","5/5/14",0,0,0.717839793150317,0.955509275420002,"TELIMELE",18,0,0,283639
"2296","Guinea","TOUGUE","5/5/14",0,0,0,0,"TOUGUE",18,0,0,122959
"2298","Guinea","YOMOU","5/5/14",0,0,0.0953101798043249,0.0953101798043249,"YOMOU",18,0,0,176664
"2300","Liberia","BOMI","5/5/14",0,0,0,0,"BOMI",18,0,0,103887
"2302","Liberia","BONG","5/5/14",0,0,0.139761942375159,0.139761942375159,"BONG",18,0,0,411847
"2304","Liberia","GBARPOLU","5/5/14",0,0,0,0,"GBARPOLU",18,0,0,102984
"2306","Liberia","GRAND BASSA","5/5/14",0,0,0.139761942375159,0.139761942375159,"GRANDBASSA",18,0,0,273790
"2308","Liberia","GRAND CAPE MOUNT","5/5/14",0,0,0,0,"GRANDCAPEMOUNT",18,0,0,156938
"2310","Liberia","GRAND GEDEH","5/5/14",0,0,0,0,"GRANDGEDEH",18,0,0,154693
"2312","Liberia","GRAND KRU","5/5/14",0,0,0,0,"GRANDKRU",18,0,0,71522
"2314","Liberia","LOFA","5/5/14",1,1,0.00498746875913276,0.00498743965836884,"LOFA",18,0,0,341924
"2316","Liberia","MARGIBI","5/5/14",0,0,1.38629146819988,1.3862885752715,"MARGIBI",18,0,0,259254
"2318","Liberia","MARYLAND","5/5/14",0,0,0,0,"MARYLAND",18,0,0,167883
"2320","Liberia","MONTSERRADO","5/5/14",3,3,0.139761659031082,0.139761659031082,"MONTSERRADO",18,0,0,1381022
"2322","Liberia","NIMBA","5/5/14",0,0,0,0,"NIMBA",18,0,0,570600
"2324","Liberia","RIVER GEE","5/5/14",0,0,0,0,"RIVERGEE",18,0,0,82484
"2326","Liberia","RIVERCESS","5/5/14",0,0,0,0,"RIVERCESS",18,0,0,88313
"2328","Liberia","SINOE","5/5/14",0,0,0,0,"SINOE",18,0,0,126452
"2330","Sierra Leone","BO","5/5/14",0,0,0,0,"BO",18,0,0,587350
"2332","Sierra Leone","BOMBALI","5/5/14",0,0,0,0,"BOMBALI",18,0,0,517326
"2334","Sierra Leone","BONTHE","5/5/14",0,0,0,0,"BONTHE",18,0,0,176948
"2336","Sierra Leone","KAILAHUN","5/5/14",0,0,0,0,"KAILAHUN",18,0,0,453736
"2338","Sierra Leone","KAMBIA","5/5/14",0,0,0,0,"KAMBIA",18,0,0,342607
"2340","Sierra Leone","KENEMA","5/5/14",0,0,0,0,"KENEMA",18,0,0,630774
"2342","Sierra Leone","KOINADUGU","5/5/14",0,0,0,0,"KOINADUGU",18,0,0,336648
"2344","Sierra Leone","KONO","5/5/14",0,0,0,0,"KONO",18,0,0,424868
"2346","Sierra Leone","MOYAMBA","5/5/14",0,0,0,0,"MOYAMBA",18,0,0,330507
"2348","Sierra Leone","PORT LOKO","5/5/14",0,0,0,0,"PORTLOKO",18,0,0,574781
"2350","Sierra Leone","PUJEHUN","5/5/14",0,0,0,0,"PUJEHUN",18,0,0,289315
"2352","Sierra Leone","TONKOLILI","5/5/14",0,0,0,0,"TONKOLILI",18,0,0,439810
"2354","Sierra Leone","WESTERN AREA RURAL","5/5/14",0,0,0,0,"WESTERNAREARURAL",18,0,0,1199763
"2356","Sierra Leone","WESTERN AREA URBAN","5/5/14",0,0,0,0,"WESTERNAREAURBAN",18,0,0,979034
"2358","Guinea","BEYLA","5/12/14",0,0,0.0953101798043249,0.0953101798043249,"BEYLA",19,0,0,325482
"2360","Guinea","BOFFA","5/12/14",0,0,0.615185639090233,0.896088024556636,"BOFFA",19,0,0,211063
"2362","Guinea","BOKE","5/12/14",0,0,0,1.09861228866811,"BOKE",19,0,0,449405
"2364","Guinea","CONAKRY","5/12/14",1,0,0.615174895399395,0.854400172971184,"CONAKRY",19,0,0,1667864
"2366","Guinea","COYAH","5/12/14",0,0,0.615185639090233,0.854415328156068,"COYAH",19,0,0,264164
"2368","Guinea","DABOLA","5/12/14",0,0,0,0,"DABOLA",19,0,0,182951
"2370","Guinea","DALABA","5/12/14",0,0,0,0,"DALABA",19,0,0,136320
"2372","Guinea","DINGUIRAYE","5/12/14",0,0,0,0,"DINGUIRAYE",19,0,0,195662
"2374","Guinea","DUBREKA","5/12/14",0,0,2.89037175789616,3.3322045101752,"DUBREKA",19,0,0,328418
"2376","Guinea","FARANAH","5/12/14",0,0,0,0.0953101798043249,"FARANAH",19,0,0,280511
"2378","Guinea","FORECARIAH","5/12/14",0,0,0,0,"FORECARIAH",19,0,0,244649
"2380","Guinea","FRIA","5/12/14",0,0,0.615185639090233,0.854415328156068,"FRIA",19,0,0,96527
