"","Country","DistrictName","Week","Probable","Confirmed","ConfirmedFOI","ProbableFOI","DistrictID","WeekID","ProbableCumulative","ConfirmedCumulative","PopulationSize"
"134","Guinea","COYAH","1/6/14",0,0,0,0.0953101798043249,"COYAH",1,0,0,264164
"136","Guinea","DABOLA","1/6/14",0,0,0,0,"DABOLA",1,0,0,182951
"138","Guinea","DALABA","1/6/14",0,0,0,0,"DALABA",1,0,0,136320
"140","Guinea","DINGUIRAYE","1/6/14",0,0,0,0,"DINGUIRAYE",1,0,0,195662
"142","Guinea","DUBREKA","1/6/14",0,0,0,1.09861228866811,"DUBREKA",1,0,0,328418
"144","Guinea","FARANAH","1/6/14",0,0,0,0,"FARANAH",1,0,0,280511
"146","Guinea","FORECARIAH","1/6/14",0,0,0,0,"FORECARIAH",1,0,0,244649
"148","Guinea","FRIA","1/6/14",0,0,0,0.0953101798043249,"FRIA",1,0,0,96527
"150","Guinea","GAOUAL","1/6/14",0,0,0,0,"GAOUAL",1,0,0,194245
"152","Guinea","GUECKEDOU","1/6/14",0,0,0,0,"GUECKEDOU",1,0,0,291823
"154","Guinea","KANKAN","1/6/14",0,0,0,0,"KANKAN",1,0,0,472112
"156","Guinea","KEROUANE","1/6/14",0,0,0,0,"KEROUANE",1,0,0,211017
"158","Guinea","KINDIA","1/6/14",0,0,0,0.0953101798043249,"KINDIA",1,0,0,438315
"160","Guinea","KISSIDOUGOU","1/6/14",0,0,0,0,"KISSIDOUGOU",1,0,0,283609
"162","Guinea","KOUBIA","1/6/14",0,0,0,0,"KOUBIA",1,0,0,101171
"164","Guinea","KOUNDARA","1/6/14",0,0,0,0,"KOUNDARA",1,0,0,130205
"166","Guinea","KOUROUSSA","1/6/14",0,0,0,0,"KOUROUSSA",1,0,0,268224
"168","Guinea","LABE","1/6/14",0,0,0,0,"LABE",1,0,0,318663
"170","Guinea","LELOUMA","1/6/14",0,0,0,0,"LELOUMA",1,0,0,162634
"172","Guinea","LOLA","1/6/14",0,0,0,0,"LOLA",1,0,0,175213
"174","Guinea","MACENTA","1/6/14",0,0,0,0,"MACENTA",1,0,0,298282
"176","Guinea","MALI","1/6/14",0,0,0,0,"MALI",1,0,0,290320
"178","Guinea","MAMOU","1/6/14",0,0,0,0,"MAMOU",1,0,0,318738
"180","Guinea","N'ZEREKORE","1/6/14",0,0,0,0,"NZEREKORE",1,0,0,396118
"182","Guinea","PITA","1/6/14",0,0,0,0,"PITA",1,0,0,277059
"184","Guinea","SIGUIRI","1/6/14",0,0,0,0,"SIGUIRI",1,0,0,695449
"186","Guinea","TELIMELE","1/6/14",0,0,0,0.0953101798043249,"TELIMELE",1,0,0,283639
"188","Guinea","TOUGUE","1/6/14",0,0,0,0,"TOUGUE",1,0,0,122959
"190","Guinea","YOMOU","1/6/14",0,0,0,0,"YOMOU",1,0,0,176664
"192","Liberia","BOMI","1/6/14",0,0,0,0,"BOMI",1,0,0,103887
"194","Liberia","BONG","1/6/14",0,0,0,0,"BONG",1,0,0,411847
"196","Liberia","GBARPOLU","1/6/14",0,0,0,0,"GBARPOLU",1,0,0,102984
"198","Liberia","GRAND BASSA","1/6/14",0,0,0,0,"GRANDBASSA",1,0,0,273790
"200","Liberia","GRAND CAPE MOUNT","1/6/14",0,0,0,0,"GRANDCAPEMOUNT",1,0,0,156938
"202","Liberia","GRAND GEDEH","1/6/14",0,0,0,0,"GRANDGEDEH",1,0,0,154693
"204","Liberia","GRAND KRU","1/6/14",0,0,0,0,"GRANDKRU",1,0,0,71522
"206","Liberia","LOFA","1/6/14",0,0,0,0,"LOFA",1,0,0,341924
"208","Liberia","MARGIBI","1/6/14",0,0,0,0,"MARGIBI",1,0,0,259254
"210","Liberia","MARYLAND","1/6/14",0,0,0,0,"MARYLAND",1,0,0,167883
"212","Liberia","MONTSERRADO","1/6/14",0,0,0,0,"MONTSERRADO",1,0,0,1381022
"214","Liberia","NIMBA","1/6/14",0,0,0,0,"NIMBA",1,0,0,570600
"216","Liberia","RIVER GEE","1/6/14",0,0,0,0,"RIVERGEE",1,0,0,82484
"218","Liberia","RIVERCESS","1/6/14",0,0,0,0,"RIVERCESS",1,0,0,88313
"220","Liberia","SINOE","1/6/14",0,0,0,0,"SINOE",1,0,0,126452
"222","Sierra Leone","BO","1/6/14",0,0,0,0,"BO",1,0,0,587350
"224","Sierra Leone","BOMBALI","1/6/14",0,0,0,0,"BOMBALI",1,0,0,517326
"226","Sierra Leone","BONTHE","1/6/14",0,0,0,0,"BONTHE",1,0,0,176948
"228","Sierra Leone","KAILAHUN","1/6/14",0,0,0,0,"KAILAHUN",1,0,0,453736
"230","Sierra Leone","KAMBIA","1/6/14",0,0,0,0,"KAMBIA",1,0,0,342607
"232","Sierra Leone","KENEMA","1/6/14",0,0,0,0,"KENEMA",1,0,0,630774
"234","Sierra Leone","KOINADUGU","1/6/14",0,0,0,0,"KOINADUGU",1,0,0,336648
"236","Sierra Leone","KONO","1/6/14",0,0,0,0,"KONO",1,0,0,424868
"238","Sierra Leone","MOYAMBA","1/6/14",0,0,0,0,"MOYAMBA",1,0,0,330507
"240","Sierra Leone","PORT LOKO","1/6/14",0,0,0,0,"PORTLOKO",1,0,0,574781
"242","Sierra Leone","PUJEHUN","1/6/14",0,0,0,0,"PUJEHUN",1,0,0,289315
"244","Sierra Leone","TONKOLILI","1/6/14",0,0,0,0,"TONKOLILI",1,0,0,439810
"246","Sierra Leone","WESTERN AREA RURAL","1/6/14",0,0,0,0,"WESTERNAREARURAL",1,0,0,1199763
"248","Sierra Leone","WESTERN AREA URBAN","1/6/14",0,0,0,0,"WESTERNAREAURBAN",1,0,0,979034
